arc	source	where	terms	status	hits_per_head	top_paths	quote
B771_phase1_wave1	main	frontier/B771_phase1_wave1/FINDINGS_WAVE4.md:28 (W4-139 row)	birational asserted genus lower	LEAD	"{""audit/b775-braver-questions"":5,""claude/new-session-qor5up"":5,""claude/outside-bench"":5,""codex/seat-r001"":5,""main"":5,""paper/structure-genesis-first"":5}"	docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B778_cleanup/cells/CL-W5139/compute.py | papers/VALIDATION_LEDGER.md | +1 catch-all	"the ""genus ≥ 1"" lower bound is asserted in prose, never computed (needs the birational Fxz→G step)."
B771_phase1_wave1	main	frontier/B771_phase1_wave1/cells/OI-148/output.txt:7	oi-031 unresolved question remains	LEAD	"{""audit/b775-braver-questions"":4,""claude/new-session-qor5up"":4,""claude/outside-bench"":4,""codex/seat-r001"":4,""main"":4,""paper/structure-genesis-first"":5}"	frontier/B770_closure_census/CENSUS.md | frontier/B770_closure_census/census.json | frontier/B771_phase1_wave1/wave1_results.json | docs/LAW_MAP.md | +1 catch-all	e3's exact closed form remains UNRESOLVED -- that is OI-031's question, not this cell's; this cell's verdict does not depend on it.
B771_phase1_wave1	main	frontier/B771_phase1_wave1/wave5_results.json (W5-017r discriminating_fact field)	w4-017r in-cell class-3 fabricated	NO_HIT	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":0,""claude/outside-bench"":0,""codex/seat-r001"":0,""main"":0,""paper/structure-genesis-first"":0}"		"W4-017r's compute.py never calls its solver on class 3 ... yet its printed ""SCOPE (computed, not assumed)"" narrative claimed ""verified in-cell: a class-3 isolated point yields a generator of degree 10 with height >1e8"" -- a fabricated assertion"
B771_phase1_wave1	main	frontier/B771_phase1_wave1/cells/W3-149r/output.txt:36	nowhere-appearing fabricated failures genuine	NO_HIT	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":0,""claude/outside-bench"":0,""codex/seat-r001"":0,""main"":0,""paper/structure-genesis-first"":0}"		"the fabricated ""12 genuine FAILUREs"" claim's ... nowhere-appearing"
B772_negatives_adequacy	main	frontier/B772_negatives_adequacy/FINDINGS.md:15-16	chord-level negative corpus analog	LEAD	"{""audit/b775-braver-questions"":7,""claude/new-session-qor5up"":6,""claude/outside-bench"":6,""codex/seat-r001"":6,""main"":6,""paper/structure-genesis-first"":6}"	docs/ERROR_LEDGER.md | docs/SEAL_LEDGER.md | frontier/B774_chord_pass/stageA_scan.json | frontier/B921_branch_harvest/harvested/frontier/B796_coupling_campaign/context_sweep/sweep_changelog_history.md | frontier/B796_coupling_campaign/context_sweep/sweep_changelog_history.md | +2 catch-all	No negative in the corpus has ever computed a chord-level analog of its own target and found THAT also empty.
B772_negatives_adequacy	main	frontier/B772_negatives_adequacy/audit_results.json:354 (what_we_miss)	framing-sensitive chord-level non-abelian corpus	NO_HIT	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":0,""claude/outside-bench"":0,""codex/seat-r001"":0,""main"":0,""paper/structure-genesis-first"":0}"		NO cell in the corpus has yet computed a chord-level / non-abelian / framing-sensitive analog of its own target and found THAT also empty
B772_negatives_adequacy	main	frontier/B772_negatives_adequacy/audit_results.json:346 (recompute_list, W3-067 entry); also line 89	un-re-gated w4-067r untracked	NO_HIT	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":0,""claude/outside-bench"":0,""codex/seat-r001"":0,""main"":0,""paper/structure-genesis-first"":0}"		the fix W4-067r is still UNTRACKED/un-re-gated in git
B773_chord_recompute	main	frontier/B773_chord_recompute/FINDINGS.md:49-51 (W3-067c entry)	certification docstring covers trace	LEAD	"{""audit/b775-braver-questions"":13,""claude/new-session-qor5up"":15,""claude/outside-bench"":14,""codex/seat-r001"":13,""main"":14,""paper/structure-genesis-first"":12}"	docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B770_closure_census/census.json | frontier/B771_phase1_wave1/wave1_results.json | frontier/B771_phase1_wave1/wave3_results.json | frontier/B772_negatives_adequacy/audit_results.json | frontier/B878_maass_upper_window/branch_FINDINGS.md | frontier/B887_gate_audit/audit_reports.json | +5 catch-all	the certification covers only tr(a), not the full trace field ⟨tr a, tr b, tr ab⟩ the cell's own docstring names
B773_chord_recompute	main	frontier/B772_negatives_adequacy/audit_results.json:89 (W3-067 rationale, carried into B773's prereg for W3-067c)	trace-field cross-check certification groebner	LEAD	"{""audit/b775-braver-questions"":6,""claude/new-session-qor5up"":6,""claude/outside-bench"":7,""codex/seat-r001"":6,""main"":7,""paper/structure-genesis-first"":6}"	docs/views/VERDICT_LEDGER.md | frontier/B199_metallic_exponent_law/workflow_result.json | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B770_closure_census/census.json | frontier/B771_phase1_wave1/wave3_results.json | papers/VALIDATION_LEDGER.md | +1 catch-all	No exact Sage/Groebner trace-field certification was run as a cross-check.
B775_phase2_wave1	main	FINDINGS_WAVE3.md:15 (P2W3-H4)	object-native figure-eight arithmeticity uniquely	LEAD	"{""audit/b775-braver-questions"":7,""claude/new-session-qor5up"":7,""claude/outside-bench"":12,""codex/seat-r001"":10,""main"":12,""paper/structure-genesis-first"":8}"	docs/views/VERDICT_LEDGER.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B770_closure_census/census.json | frontier/B772_negatives_adequacy/audit_results.json | philosophy/P020_the_spectral_theorem_chain.md | docs/views/THE_SPINE.md | frontier/B1194_existence_audit/verification/audit_cells.json | frontier/B1211_declaration_gap/deep_sweep.json | +4 catch-all	there is no object-native reason the figure-eight is uniquely minimal along arithmeticity — that is Reid's separate deep theorem
B775_phase2_wave1	main	FINDINGS_WAVE2.md:15 (P2W2-PERLETTER)	non-arbitrary per-letter amplitude hearing	DOC_ECHO	"{""audit/b775-braver-questions"":1,""claude/new-session-qor5up"":1,""claude/outside-bench"":1,""codex/seat-r001"":1,""main"":1,""paper/structure-genesis-first"":1}"	 | +1 catch-all	no non-arbitrary per-letter hearing weight is forced: the hearing amplitude factors as q(RL)=θ_fund·q(L) with the per-letter split a FREE knob
