idx	arc	where	terms	hits	top	quote
0	B3_regge_complex	README.md:27	complex regge	main=4,all=28	ROADMAP.md ; docs/progress/PROGRESS_2026-Q2.md ; f/README.md ; legacy/handoff/handoff.md	The 4D Regge complex — not a defined construction.
1	B3_regge_complex	README.md:35	figure-eight monodromy stacking manifold	main=2,all=11	docs/progress/PROGRESS_2026-Q2.md ; f/B1068_descent_inventory/w2_full_results.json	"stacking figure-eight slices by the monodromy A" ... names no 4-manifold and no 4-cell.
2	B5_wheeler_dewitt	README.md:689	cosmological-constant problem	main=33,all=229	CHANGELOG.md ; PROGRESS_LOG.md ; ROADMAP.md ; docs/LAW_MAP.md ; docs/OPEN_LEADS.md	It does NOT resolve the cosmological-constant problem — it restates it.
3	B9_fusion_scattering	FINDINGS.md:26	characteristic polynomial functor shared	main=31,all=203	CHANGELOG.md ; CLAIMS.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/HINT_LEDGER.md	There is no functor here, only a shared characteristic polynomial.
4	B13_trace_map_character_variety	FINDINGS.md:111	awareness gravity matter	main=29,all=165	CHANGELOG.md ; PROGRESS_LOG.md ; ROADMAP.md ; docs/HINT_LEDGER.md ; docs/TRACE_SELECTOR_THEOREM.md ; DEL:papers/REVIEW_WORKFLOW.md	it does not derive physical `3+1`, matter content, gravity, or awareness.
5	B14_half_step_square_root_selector	FINDINGS.md:97	structure operation inserted	main=26,all=171	CHANGELOG.md ; PROGRESS_LOG.md ; docs/LAW_MAP.md ; docs/OPEN_LEADS.md ; docs/TRACE_SELECTOR_THEOREM.md ; DEL:docs/REVIEWS.md	structure or an inserted operation is not derived here.
6	B15_trace_map_invariant_controls	FINDINGS.md:79	dictionary awareness semantics coupling	main=4,all=25	CHANGELOG.md ; PROGRESS_LOG.md ; docs/SEAL_LEDGER.md ; docs/progress/REVIEWS.md ; docs/views/VERDICT_LEDGER.md	dictionary to awareness, physical coupling, and phase semantics is not derived
7	B16_record_swap_status	FINDINGS.md:63	a1-a6 exchange symmetry itself	main=8,all=47	PROGRESS_LOG.md ; docs/progress/PROGRESS_2026-Q2.md ; docs/views/VERDICT_LEDGER.md ; f/B738_pathfinder_compiler/kill_graph.json ; f/README.md	exchange symmetry itself is not derived from A1-A6.
8	B19_exchange_half_step_axiom_audit	FINDINGS.md:33	a1-a6 condition itself	main=11,all=71	PROGRESS_LOG.md ; docs/TRACE_SELECTOR_THEOREM.md ; docs/progress/PROGRESS_2026-Q2.md ; docs/views/VERDICT_LEDGER.md ; f/B16_record_swap_status/FINDINGS.md	but this condition itself is not derived from A1-A6.
9	B21_spacetime_wp_dictionary	FINDINGS.md:12	einstein equation metric causal	main=13,all=82	AUDIT_REPORT.md ; CHANGELOG.md ; GOVERNANCE.md ; PROGRESS_LOG.md ; docs/progress/PROGRESS_2026-Q2.md	No physical metric, units, causal cone, or Einstein equation is derived.
10	B23_bkl_gravity_controls	FINDINGS.md:16	dictionary variables misner kasner	main=2,all=10	docs/progress/PROGRESS_2026-Q2.md ; docs/COSMOLOGY_LEDGER.md	No explicit dictionary from `(u,v,w)` to Misner variables `(beta_+, beta_-,Omega)` or to Kasner/BKL variables is derived here.
11	B25_fibonacci_spectrum_anchor	FINDINGS.md:22	a1-a6 coupling exchange symmetry	main=8,all=45	PROGRESS_LOG.md ; docs/progress/PROGRESS_2026-Q2.md ; docs/views/VERDICT_LEDGER.md ; f/B738_pathfinder_compiler/kill_graph.json ; f/README.md	coupling is not derived from A1-A6 plus exchange symmetry.
