packet	path	outcome	certifies	depends_on	runtime_s	reason	evidence
D000	certificates/check_b1147_lock.py	PASS	Checks (via SHA-256 hash comparison against two hardcoded expected hashes) that vendored copies of a B1147 test file and a git ls-tree manifest from commit 9d6979db424c0b878c62541a3f21e0a2ca39f274 are byte-identical to the originals, then does a string/set-membership check to confirm the test's required reproduce.log path is absent from the clean-tree manifest, reporting this as a lock/reproducibility-record defect (not a mathematical result).	vendored files certificates/vendor/b1147_test_b1147_clane_harvest.py and certificates/vendor/b1147_tree_paths.txt (both hash-locked), hardcoded SHA-256 hashes, and the cited git commit as source of those vendored files	1		source_commit = 9d6979db424c0b878c62541a3f21e0a2ca39f274 test_sha256 = 5713e542905a12c0343dcb7058984b749bffe0ac56d887d07190c76c3284378a tree_manifest_sha256 = eb70e098d918b7dbfa350ff93a40bb1641cb251a5db4dc129e054aadaf427dd7 required_by_test = frontier/B1147_clane_harvest/verification/reproduce.log present_in_clean_tree = False RESULT B1147 clean-checkout lock is not self-contained: required reproduce.log is absent SCOPE record/lock defect only; the eleven mathematical verdicts require separate reproduction EXIT=0
D000	certificates/oa_c1070_omega1_parity.py	PASS	Exact rational (Fraction) verification that, for E6's 20 hardcoded weighted-Dynkin nilpotent-orbit label vectors (with recorded orbit dimensions/types/projectivity), the omega_1-parity of H=A^{-1}c matches a hardcoded expected projectivity flag for each row, that exactly 9/20 are projective and all have even labels, and a general lattice argument (det(A)=3 odd) extended to all 64 even 0/1-label vectors plus one explicit scope-fence counterexample where parity fails to be forced by even labels alone.	hardcoded E6 Cartan matrix A, hardcoded 20-row census (ROWS) copied from an external locked certificate (cp1_strata.py, not itself run here)	1		projective rows: 9/20; every projective row has all labels even integral even-label test: 24/64 label vectors pass; all give even t and 27-spectrum scope fence: c=(2,0,0,0,0,0) is even but t_1=8/3; arbitrary even labels are not enough OA-C1070: PASS — among weighted-Dynkin characteristics, omega_1 parity is redundant EXIT=0
D000	certificates/r006_e6_invariants/jordan_beat.py	PASS	Exact rational/algebraic computation (via fractions and an imported exact Q(q) pair-field arithmetic) that the space of E6-invariant symmetric cubic forms on the 27-dim representation is exactly 1-dimensional (verified against all 72 root generators, not just 12 simple ones), that the invariant symmetric bilinear space on the 27 alone is exactly 0-dimensional (no mass term), and that this cubic is preserved exactly under a specific unipotent 'beat' transformation Omega and its square A27=Omega^2, checked on all 3654 basis triples.	certificates/r006_e6_invariants/twisted_double.py (executed in-process for stages 0-3: E6 root system, Chevalley basis, 27-dim rep rho27_Q, verified against all 3003 Chevalley brackets)	5		weight-zero symmetric triples on the 27: 45 derivation equations (12 generators): 180 invariant-cubic solution space: dim = 1  (GREEN requires exactly 1) ... invariant-bilinear space on the 27 alone: dim = 0  (GREEN requires exactly 0) ... C(Omega u, Omega v, Omega w) = gal(C(u,v,w)) for ALL 3654 basis triples: True cross-check: C invariant under A27 = Omega^2 (the lifted meridian): True EXIT=0
D000	certificates/r006_e6_invariants/paper/verify/check_charge_bracket.py	PASS	Fully self-contained exact (Fraction/sympy Rational) construction of the E6 root system (72 roots), a Chevalley basis with verified antisymmetry and full Jacobi identity on all 76076 triples, the principal sl2 triple, the ad(h) exponent decomposition, two 2T-invariant binary forms (verified invariant under all 24 elements of the binary tetrahedral group 2T), an explicit sl2-equivariant embedding of degree-14 and degree-22 charge polynomials into E6, and finally an exact computation that the Lie bracket [x14,x22]=0.	none (self-contained; only sympy, hardcoded Bourbaki E6 Cartan matrix and Frenkel-Kac cocycle construction)	8		[PASS] 72 roots [PASS] dim e6 = 6 + 72 [PASS] antisymmetry on all 78x78 pairs [PASS] Jacobi on all 76076 unordered triples ... [PASS] ### [x14, x22] = 0 exactly ---------------------------------------------------------------------- PASS: the one certificate the cascade consumes reproduces exactly. EXIT=0
D000	certificates/r006_e6_invariants/tensor_invariant_counts.py	PASS	After SHA-256-verifying two vendored source files against hardcoded hashes, executes stages 0-3 of twisted_double.py to build the exact E6 27-dim rep, then computes exact ranks (via sparse Fraction Gaussian elimination) of derivation-equation systems for symmetric and ordered tensor cubes on the 27, asserting hardcoded expected values: 45 weight-zero symmetric triples with invariant multiplicities (0,0,1,0) for degrees 1-4, full E6 ordered-cube rank 269/270 (1 invariant), and for a selected A2^3 subalgebra frame, ordered-cube rank 261/270 (9 invariants) and symmetric-cube rank 41/45 (4 invariants).	certificates/r006_e6_invariants/twisted_double.py and certificates/r006_e6_invariants/paper/verify/check_charge_bracket.py (both SHA-256 hash-locked), hardcoded expected rank/count values	4		stage 1 VERIFY: rho27 respects ALL 3003 Chevalley brackets: PASS stage 3: relator acts as identity on the 27: PASS SELF-CONTAINED E6/27 INVARIANT CENSUS: PASS symmetric zero-weight monomials d=1,2,3,4: (0, 0, 45, 0) symmetric invariant multiplicities d=1,2,3,4: (0, 0, 1, 0) full E6 ordered tensor cube: basis=270 rank=269 invariants=1 selected A2^3 ordered tensor cube: basis=270 rank=261 invariants=9 selected A2^3 symmetric cube: basis=45 rank=41 invariants=4 scope: exact fixed-representation algebra; no physical Yukawa or value EXIT=0
D001	certificates/r006_e6_invariants/twisted_double.py	PASS	An 8-stage exact-arithmetic (Fraction/sympy) certificate for the theta-odd twisted mirror double of the figure-8 sister link's Riley component: it builds E6's Chevalley basis and the exact 27-dim rep, verifies rho27 respects all 3003 Chevalley brackets, checks the principal-sl2 string decomposition (16,8,0), a braid-relator identity on the 27, Fox calculus H^1(M;27)=3, symbolically verifies the longitude word, computes Mayer-Vietoris h^1 for the twisted double at t in {0,1,2,omega} for both identity and Galois-mirror gluings and both the 27 and 27bar, and an adjoint bracket-closure sweep showing the dialed sl2 pair generates full e6 (dim 78) for slots hv8/hv16 at t in {1,2,omega}. All checks are exact (Fraction/sympy rational and symbolic, one dial word search uses float exp then re-verifies symbolically).	imports certificates/r006_e6_invariants/paper/verify/check_charge_bracket.py (the repo's own E6 Chevalley-basis construction: br, evec, hvec, eps, ip, ROOTS, IDX, N, DIM) via importlib; otherwise self-contained (sympy, fractions, itertools).	480		stage 1 VERIFY: rho27 respects ALL 3003 Chevalley brackets: PASS stage 2: principal strings: [16, 8, 0] (expect [16,8,0]) stage 3: relator acts as identity on the 27: PASS stage 4: h^1(M;27) = 3 (expect 3; B662 grammar) stage 5: longitude found and verified symbolically: bABaaBAb, off-diag 2*sqrt(3)*I stage 6: torus: h^0 = 3, h^1 = 6 (expect 3 and 6) stage 6: mirror rep = Galois twist VERIFIED at the cusp: gal fixes mu, gal(lam^{-1}) = lam stage 7: h^1(M;27bar) = 3 (expect 3) stage 8: dial x8 (slot 4), t=1: closure dim = 78  = e6, FULL   dial x8 (slot 4), t=2: closure dim = 78  = e6, FULL   dial x8 (slot 4), t=omega: closure dim = 78  = e6, FULL   dial x16 (slot 8), t=1: closure dim = 78  = e6, FULL   dial x16 (slot 8), t=2: closure dim = 78  = e6, FULL   dial x16 (slot 8), t=omega: closure dim = 78  = e6, FULL (process ran to completion, no exception, no sys.exit(1) triggered)
D001	certificates/r008_peripheral_sheet_conjugacy.py	PASS	An exact symbolic (sympy, rational/algebraic) certificate distinguishing, on the Riley trace component of a two-bridge-type knot group, the parabolic-locus identity kappa+tau=3 (x^2=4 only) from the genuine global sheet involution z -> x^2+1-z (which instead gives kappa+tau=x^2-1); includes a symbolic counterexample point (x=0, z=(1+sqrt5)/2) refuting the naive global 3-kappa claim.	self-contained; only sympy, no external data or repo imports.	3		Riley trace component: P = -x**2*z + 2*x**2 + z**2 - z - 1 disc_z(P) = (x - 1)*(x + 1)*(x**2 - 5) kappa mod P = z - 1 tau + kappa - 3 mod P = (x - 2)*(x + 2) global deck map: z -> x**2 - z + 1 global deck conjugate of kappa = x**2 - z generic kappa polynomial = K**2 - K*(x**2 - 1) + x**2 - 1 parabolic specialization: x^2=4 gives kappa + tau = 3 selected x=2 values: kappa=1+q, tau=2-q counterexample: x=0, z=(1+sqrt(5))/2 gives tau+kappa-3=-4 VERDICT: GLOBAL SHEET CONJUGACY PROVED; CONSTANT 3-KAPPA IS PERIPHERAL ONLY
D001	certificates/r009_c4_superposition/superposition_stdlib.py	PASS	A numerical (stdlib-only, float arithmetic with tolerances ~1e-3 to 1e-4) reproduction of the Kolmogorov-Smirnov distances between unfolded zeta/L-function zero spacings and (a) the single Wigner-surmise GUE cdf, (b) a two-component renewal-superposition cdf, checking specific hardcoded D-values and the qualitative claim that the superposition fits far better than either single-Wigner control, while explicitly declining to claim exact GUE/independence.	two bundled zero data files certificates/r009_c4_superposition/data/c4_zeros_zeta.txt (2469 values) and c4_zeros_L.txt (2991 values), presumably precomputed/cited zero locations; hardcoded expected-distance constants (0.0401, 0.0487, 0.13359, 0.02400, 0.1802, 0.1914) checked via assert with tolerance.	2		data counts: zeta=2469 Lchi=2991 merged=5460 single-factor Wigner distances: zeta=0.04013 Lchi=0.04867 merged versus single Wigner: D=0.13359 density fractions: f_zeta=0.452198 f_Lchi=0.547802 merged versus two-renewal superposition: D=0.02400 factor controls versus superposition: zeta=0.18017 Lchi=0.19138 nominal iid asymptotic KS p for superposition: 0.00363493 VERDICT: RELATIVE D-GATE PASSES; EXACT GUE/INDEPENDENCE CLAIM DOES NOT FOLLOW
D001	certificates/r010_gl_class_m12.py	PASS	An exact integer certificate (stdlib only, no float) computing proper (SL2Z) versus full GL(2,Z) equivalence classes of primitive binary quadratic forms for discriminants m^2+4, m=1..12, and for D=148, via the classical rho reduction cycle plus the determinant -1 variable-swap quotient; confirms hardcoded expected class-count lists and exhibits the specific improper equivalence (-7,6,4)->(4,6,-7) resolving a claimed m=12 discrepancy in an external paper.	hardcoded expected sequences proper_counts==[1,1,1,1,1,2,1,1,2,2,1,3] and full_gl_counts==[1,1,1,1,1,2,1,1,2,2,1,2], and the specific form-cycle representatives for D=148; otherwise self-contained (math stdlib only).	1		proper class counts m=1..12: [1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 3] full GL class counts m=1..12: [1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 2] D=148 proper-cycle representatives: [(-7, 6, 4), (-7, 8, 3), (-1, 12, 1)] improper swap: (-7,6,4) -> (4,6,-7) swap matrix determinant: -1 D=148 verdict: 3 proper SL classes, 2 full GL classes PAPER-I m=12 DISCREPANCY RESOLVED
D001	certificates/r011_ruelle_scope.py	PASS	An exact-arithmetic (Fraction, plus simple integer/logical checks) scope certificate for a Ruelle-zeta / theta-nome exponent dictionary: verifies termwise exponent equality (-s,k)=(-k,k) at s=k for k=2..19, confirms the absolute-convergence domain boundary is k=2 with all integer k>=3 strictly inside Re(s)>2, and proves via exact rational telescoping (prod_{n=2}^{N}(1-1/n^2)=(N+1)/(2N)) that an infinite product can equal a finite limit, refuting a 'no finite identity' inference.	self-contained; only the fractions stdlib module, no external data or repo imports.	1		R(s,sigma_k) exponent coefficients: (-s,k) q^k exponent coefficients: (-k,k) termwise equality occurs at s=k absolute-domain check: k=2 is boundary; every integer k>=3 is inside Re(s)>2 countercontrol: prod_(n=2..N)(1-1/n^2)=(N+1)/(2N) -> 1/2 VERDICT: k>=3 DICTIONARY EXACT; n=2 AND NO-FINITE-IDENTITY CLAIMS DO NOT FOLLOW
