arc	source	kind	detail
B25_fibonacci_spectrum_anchor	main	SUPERSEDED_UNMARKED	FINDINGS.md still states 'Mid-scale box-counting slopes are near 0.75' without any correction note, even though the README's own later addendum revises this to a not-converged range [0.78,0.93] (Aitken ~0.86) -- a materially different estimate that FINDINGS.md does not reflect.
B69_metallic_apoly_family	main	SUPERSEDED_UNMARKED	NOVELTY_CHECK.md (same arc directory, same date) explicitly RETRACTS/downgrades the arc's own novelty framing: 'the cusp-torsion law is NOT new... B69 is re-labeled STANDARD_REPACKAGE: a verified... computer-assisted observation that is a special case of the Baker-Petersen / Culler-Shalen theory... drop any novelty framing.' Yet arc_verdict.json's claim_one_line makes no mention of this downgrade and reads as if the result is an original contribution ('extends the figure-eight A-polynomial... verified m=1..6'), with no cross-reference to NOVELTY_CHECK.md's STANDARD_REPACKAGE verdict.
B70_trace_ring	main	SUPERSEDED_UNMARKED	"e2_sector_closure.py's generic-epsilon-series result is explicitly superseded by e2_unipotent_bound.py per an inline CORRECTION docstring, but the file is still committed and referenced as ""kept as contrast"" rather than deleted or clearly marked stale in FINDINGS' headline; the correction is well-documented in-file so this is a minor/handled case."
B92_metallic_classification	main	SUPERSEDED_UNMARKED	the FINDINGS.md body (main classification section) still contains 'MyCalc-2' text asserting 'all are conjugate to the companion M_m' as a settled claim, which is corrected by the 2026-06-15 correction block and then RE-corrected by the 2026-08-18 addendum; the arc_verdict.json claim_one_line and README.md still say '...period-1 slice; m is free' without surfacing the two-layer correction history, though the addendum text itself is present in FINDINGS.md
B111_sign_structure	main	SUPERSEDED_UNMARKED	B111's own arc_verdict.json still records verdict PROVED for the 'closed form + one promotion' framing with no supersedes/superseded_by pointer, even though B117's FINDINGS.md and arc_verdict.json (supersedes: B111) explicitly state 'the promotion framing is superseded' and 'there is no promotion' (a Sym^1 absence instead). A reader consulting B111's verdict file alone would not learn it has been superseded.
B113_sl5_resolution	main	SUPERSEDED_UNMARKED	arc_verdict.json for B113 records verdict PROVED with no supersedes/superseded_by, but B117's FINDINGS.md explicitly lists B113 among arcs whose 'promotion' framing is superseded (section 3b: 'B111/B113 superseded'). B113's own claim rests on a 'localization' of the promotion that B117 says does not exist as a promotion at all (it reframes it as Sym^n presence).
B123_arithmeticity_m1	main	SUPERSEDED_UNMARKED	B123's own arc_verdict.json shows superseded_by: null and claim_one_line unchanged, but the project's own progress log (same day, 2026-06-08) records B125 as overturning exactly this claim ('the B123/K009 third independent/unique m=1 arithmetic criterion, which mis-applied Reid 1991'), and B125's arc_verdict.json carries supersedes: 'B123'. The retraction is one-directional (B125 -> B123) and not reflected back in B123's own verdict file, so a reader consulting B123 alone would not learn its headline claim is overturned.
B131_two_seed_fork	main	SUPERSEDED_UNMARKED	B134's novelty audit found B131's headline framing ('heterogeneity makes the choice') to be scope-limited to the identity gluing specifically (Kitano-Nozaki 2020 shows a same-seed splice/swap gluing also forks) -- a qualification, not a full retraction, but B131's own arc_verdict.json (claim_one_line, supersedes/superseded_by both null) does not reflect this scoping; a reader of B131 alone would not learn the 'heterogeneity, not multiplicity' framing needs the identity-gluing caveat.
B134_chirality_recursion_proved	main	SUPERSEDED_UNMARKED	B134's arc_verdict.json declares supersedes: 'B128', but B128's own arc_verdict.json (read in this batch) shows superseded_by: null and its original claim_one_line unchanged. This is an upgrade (computer-assisted 15/15 -> proved) rather than a contradiction, so the practical risk is lower than the B123/B125 case, but the pattern (supersedes field populated one-directionally, never reflected back in the superseded arc's own file) recurs across this batch and is worth flagging systematically.
B141_s031_split	main	SUPERSEDED_UNMARKED	The ADDENDUM (2026-08-13) explicitly retracts Item 3's stated mechanism ('finite image => reducible tower' is false in general; counterexample SL(2,3)=2T). FINDINGS.md, README.md, and arc_verdict.json's claim_one_line still state the finiteness-vs-density mechanism as the conclusion, with no inline correction pointing to the addendum (the addendum is a separate file, not merged into the sealed text). The bottom-line conclusion (Q8 tower reducible for n>=3) survives, but the stated general principle does not.
