arc	source	where	terms	status	hits_per_head	top_paths	quote
B1_gluing_chern_simons	main	frontier/B1_gluing_chern_simons/README.md:51-55	chern-simons flat-sl distinguish connection	NO_HIT	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":0,""claude/outside-bench"":0,""claude/physics-seat-evaluation-8dkbrl"":0,""codex/seat-r001"":0,""main"":0,""paper/structure-genesis-first"":0}"		It does NOT: produce the Chern-Simons action, or its level k; distinguish 2+1 gravity from any other flat-SL(2,R)-connection theory; supply a curvature 2-form whose vanishing is the dynamical content of F = 0.
B3_regge_complex	main	frontier/B3_regge_complex/README.md:27	complex regge	LEAD	"{""audit/b775-braver-questions"":4,""claude/new-session-qor5up"":4,""claude/outside-bench"":4,""claude/physics-seat-evaluation-8dkbrl"":4,""codex/seat-r001"":4,""main"":4,""paper/structure-genesis-first"":4}"	ROADMAP.md | docs/progress/PROGRESS_2026-Q2.md | frontier/README.md | legacy/handoff/handoff.md	The 4D Regge complex — not a defined construction.
B3_regge_complex	main	frontier/B3_regge_complex/README.md:35	figure-eight monodromy stacking manifold	LEAD	"{""audit/b775-braver-questions"":1,""claude/new-session-qor5up"":1,""claude/outside-bench"":2,""claude/physics-seat-evaluation-8dkbrl"":2,""codex/seat-r001"":2,""main"":2,""paper/structure-genesis-first"":1}"	docs/progress/PROGRESS_2026-Q2.md | frontier/B1068_descent_inventory/w2_full_results.json	"""stacking figure-eight slices by the monodromy A"" ... names no 4-manifold and no 4-cell."
B5_wheeler_dewitt	main	frontier/B5_wheeler_dewitt/README.md:689	cosmological-constant problem	LEAD	"{""audit/b775-braver-questions"":34,""claude/new-session-qor5up"":31,""claude/outside-bench"":34,""claude/physics-seat-evaluation-8dkbrl"":33,""codex/seat-r001"":32,""main"":33,""paper/structure-genesis-first"":32}"	CHANGELOG.md | PROGRESS_LOG.md | ROADMAP.md | docs/LAW_MAP.md | docs/OPEN_LEADS.md	It does NOT resolve the cosmological-constant problem — it restates it.
B9_fusion_scattering	main	frontier/B9_fusion_scattering/FINDINGS.md:26	characteristic polynomial functor shared	LEAD	"{""audit/b775-braver-questions"":28,""claude/new-session-qor5up"":26,""claude/outside-bench"":31,""claude/physics-seat-evaluation-8dkbrl"":31,""codex/seat-r001"":30,""main"":31,""paper/structure-genesis-first"":26}"	CHANGELOG.md | CLAIMS.md | PROGRESS_LOG.md | docs/CAMPAIGN_STATUS.md | docs/HINT_LEDGER.md	There is no functor here, only a shared characteristic polynomial.
B13_trace_map_character_variety	main	frontier/B13_trace_map_character_variety/FINDINGS.md:111	awareness gravity matter	LEAD	"{""audit/b775-braver-questions"":18,""claude/new-session-qor5up"":17,""claude/outside-bench"":31,""claude/physics-seat-evaluation-8dkbrl"":29,""codex/seat-r001"":23,""main"":29,""paper/structure-genesis-first"":18}"	CHANGELOG.md | PROGRESS_LOG.md | ROADMAP.md | docs/HINT_LEDGER.md | docs/TRACE_SELECTOR_THEOREM.md | DELETED:papers/REVIEW_WORKFLOW.md	it does not derive physical `3+1`, matter content, gravity, or awareness.
B13_trace_map_character_variety	main	frontier/B13_trace_map_character_variety/README.md:79	additional dictionary	LEAD	"{""audit/b775-braver-questions"":29,""claude/new-session-qor5up"":25,""claude/outside-bench"":36,""claude/physics-seat-evaluation-8dkbrl"":35,""codex/seat-r001"":29,""main"":35,""paper/structure-genesis-first"":28}"	CLAIMS.md | PROGRESS_LOG.md | ROADMAP.md | docs/atlas/RESEARCH_TREE.md | docs/atlas/nodes/noncommutative_cancellation_residue.md	additional dictionary that is not derived here.
B14_half_step_square_root_selector	main	frontier/B14_half_step_square_root_selector/FINDINGS.md:97	structure operation inserted	LEAD	"{""audit/b775-braver-questions"":23,""claude/new-session-qor5up"":23,""claude/outside-bench"":26,""claude/physics-seat-evaluation-8dkbrl"":26,""codex/seat-r001"":24,""main"":26,""paper/structure-genesis-first"":23}"	CHANGELOG.md | PROGRESS_LOG.md | docs/LAW_MAP.md | docs/OPEN_LEADS.md | docs/TRACE_SELECTOR_THEOREM.md | DELETED:docs/REVIEWS.md	structure or an inserted operation is not derived here.
B15_trace_map_invariant_controls	main	frontier/B15_trace_map_invariant_controls/FINDINGS.md:79	dictionary awareness semantics coupling	LEAD	"{""audit/b775-braver-questions"":3,""claude/new-session-qor5up"":4,""claude/outside-bench"":4,""claude/physics-seat-evaluation-8dkbrl"":4,""codex/seat-r001"":3,""main"":4,""paper/structure-genesis-first"":3}"	CHANGELOG.md | PROGRESS_LOG.md | docs/SEAL_LEDGER.md | docs/progress/REVIEWS.md | docs/views/VERDICT_LEDGER.md	dictionary to awareness, physical coupling, and phase semantics is not derived
B16_record_swap_status	main	frontier/B16_record_swap_status/FINDINGS.md:41		UNSWEEPABLE			Therefore `P` is not currently a theorem of the substrate.
