arc	source	where	terms	status	hits_per_head	top_paths	quote
B1_gluing_chern_simons	main	frontier/B1_gluing_chern_simons/README.md:51-55	chern-simons flat-sl distinguish connection	NO_HIT	"{""audit/b775-braver-questions"":0,""claude/new-session-qor5up"":0,""claude/outside-bench"":0,""codex/seat-r001"":0,""main"":0,""paper/structure-genesis-first"":0}"		It does NOT: produce the Chern-Simons action, or its level k; distinguish 2+1 gravity from any other flat-SL(2,R)-connection theory; supply a curvature 2-form whose vanishing is the dynamical content of F = 0.
B3_regge_complex	main	frontier/B3_regge_complex/README.md:27	complex regge	LEAD	"{""audit/b775-braver-questions"":4,""claude/new-session-qor5up"":4,""claude/outside-bench"":4,""codex/seat-r001"":4,""main"":4,""paper/structure-genesis-first"":4}"	frontier/README.md | +3 catch-all	The 4D Regge complex — not a defined construction.
B3_regge_complex	main	frontier/B3_regge_complex/README.md:35	figure-eight monodromy stacking manifold	LEAD	"{""audit/b775-braver-questions"":1,""claude/new-session-qor5up"":1,""claude/outside-bench"":2,""codex/seat-r001"":2,""main"":2,""paper/structure-genesis-first"":1}"	frontier/B1068_descent_inventory/w2_full_results.json | +1 catch-all	"""stacking figure-eight slices by the monodromy A"" ... names no 4-manifold and no 4-cell."
B5_wheeler_dewitt	main	frontier/B5_wheeler_dewitt/README.md:689	cosmological-constant problem	LEAD	"{""audit/b775-braver-questions"":34,""claude/new-session-qor5up"":31,""claude/outside-bench"":34,""codex/seat-r001"":32,""main"":33,""paper/structure-genesis-first"":32}"	docs/LAW_MAP.md | docs/OPEN_LEADS.md | docs/STRATEGIC_SYNTHESIS.md | docs/UNIFIED_STATE.md | docs/views/VERDICT_LEDGER.md | frontier/B148_kappa_fricke_metallic/FINDINGS.md | frontier/B259_gravity_brick_wall_map/gravity_brick.py | frontier/B666_leads_campaign/cellS/SILENCE_NOTE.md | +6 catch-all	It does NOT resolve the cosmological-constant problem — it restates it.
B9_fusion_scattering	main	frontier/B9_fusion_scattering/FINDINGS.md:26	characteristic polynomial functor shared	LEAD	"{""audit/b775-braver-questions"":28,""claude/new-session-qor5up"":26,""claude/outside-bench"":31,""codex/seat-r001"":30,""main"":31,""paper/structure-genesis-first"":26}"	docs/CAMPAIGN_STATUS.md | docs/HINT_LEDGER.md | docs/LAW_MAP.md | docs/OPEN_LEADS.md | docs/views/VERDICT_LEDGER.md | frontier/B465_monodromy_intake/FINDINGS.md | frontier/B556_escalator_tower/FINDINGS.md | frontier/B738_pathfinder_compiler/kill_graph.json | +7 catch-all	There is no functor here, only a shared characteristic polynomial.
B13_trace_map_character_variety	main	frontier/B13_trace_map_character_variety/FINDINGS.md:111	awareness gravity matter	LEAD	"{""audit/b775-braver-questions"":18,""claude/new-session-qor5up"":17,""claude/outside-bench"":31,""codex/seat-r001"":23,""main"":29,""paper/structure-genesis-first"":18}"	docs/HINT_LEDGER.md | docs/TRACE_SELECTOR_THEOREM.md | docs/views/VERDICT_LEDGER.md | frontier/B18_trace_lift_functoriality/FINDINGS.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B770_closure_census/census.json | frontier/README.md | papers/REVIEWABILITY_INDEX.md | DELETED:papers/REVIEW_WORKFLOW.md | +10 catch-all	it does not derive physical `3+1`, matter content, gravity, or awareness.
B13_trace_map_character_variety	main	frontier/B13_trace_map_character_variety/README.md:79	additional dictionary	LEAD	"{""audit/b775-braver-questions"":29,""claude/new-session-qor5up"":25,""claude/outside-bench"":36,""codex/seat-r001"":29,""main"":35,""paper/structure-genesis-first"":28}"	docs/atlas/RESEARCH_TREE.md | docs/atlas/nodes/noncommutative_cancellation_residue.md | frontier/B1022_functor_phase1/PHASE1_CORPUS.md | frontier/B107_physics_connection_audit/FINDINGS.md | frontier/B586_round3_handoff/FINDINGS.md | frontier/B598_l85_campaign/CAMPAIGN.md | frontier/B738_pathfinder_compiler/kill_graph.json | frontier/B756_remaining_doors/RAW_WORKFLOW_OUTPUT.json | +12 catch-all	additional dictionary that is not derived here.
B14_half_step_square_root_selector	main	frontier/B14_half_step_square_root_selector/FINDINGS.md:97	structure operation inserted	LEAD	"{""audit/b775-braver-questions"":23,""claude/new-session-qor5up"":23,""claude/outside-bench"":26,""codex/seat-r001"":24,""main"":26,""paper/structure-genesis-first"":23}"	docs/LAW_MAP.md | docs/OPEN_LEADS.md | docs/TRACE_SELECTOR_THEOREM.md | docs/atlas/FAILURE_ATLAS.md | docs/atlas/RESEARCH_TREE.md | docs/atlas/SUCCESS_ATLAS.md | docs/views/VERDICT_LEDGER.md | frontier/B1000_input_count/FINDINGS.md | +4 catch-all	structure or an inserted operation is not derived here.
B15_trace_map_invariant_controls	main	frontier/B15_trace_map_invariant_controls/FINDINGS.md:79	dictionary awareness semantics coupling	LEAD	"{""audit/b775-braver-questions"":3,""claude/new-session-qor5up"":4,""claude/outside-bench"":4,""codex/seat-r001"":3,""main"":4,""paper/structure-genesis-first"":3}"	docs/SEAL_LEDGER.md | docs/views/VERDICT_LEDGER.md | +3 catch-all	dictionary to awareness, physical coupling, and phase semantics is not derived
B16_record_swap_status	main	frontier/B16_record_swap_status/FINDINGS.md:41		UNSWEEPABLE			Therefore `P` is not currently a theorem of the substrate.
