i	arc	where	status	verdict	note	quote
1	B3_regge_complex	frontier/B3_regge_complex/README.md:27	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	The 4D Regge complex — not a defined construction.
2	B3_regge_complex	frontier/B3_regge_complex/README.md:35	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	"""stacking figure-eight slices by the monodromy A"" ... names no 4-manifold and no 4-cell."
3	B5_wheeler_dewitt	frontier/B5_wheeler_dewitt/README.md:689	LEAD	CONSISTENT	docs restate the Λ position; B259's 122-order figure is itself retracted (log B980); nothing resolves the c.c. problem	It does NOT resolve the cosmological-constant problem — it restates it.
4	B9_fusion_scattering	frontier/B9_fusion_scattering/FINDINGS.md:26	LEAD	NOISE	co-occurrence in ledgers	There is no functor here, only a shared characteristic polynomial.
5	B13_trace_map_character_variety	frontier/B13_trace_map_character_variety/FINDINGS.md:111	LEAD	NOISE	ledgers/B1169 qualia arc restate the same firewall	it does not derive physical `3+1`, matter content, gravity, or awareness.
6	B13_trace_map_character_variety	frontier/B13_trace_map_character_variety/README.md:79	LEAD	NOISE	co-occurrence	additional dictionary that is not derived here.
7	B14_half_step_square_root_selector	frontier/B14_half_step_square_root_selector/FINDINGS.md:97	LEAD	NOISE	co-occurrence	structure or an inserted operation is not derived here.
8	B15_trace_map_invariant_controls	frontier/B15_trace_map_invariant_controls/FINDINGS.md:79	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	dictionary to awareness, physical coupling, and phase semantics is not derived
9	B16_record_swap_status	frontier/B16_record_swap_status/FINDINGS.md:41	UNSWEEPABLE	CONSISTENT	self-scoped (P not a theorem of the substrate); read directly	Therefore `P` is not currently a theorem of the substrate.
10	B16_record_swap_status	frontier/B16_record_swap_status/FINDINGS.md:63	LEAD	OPEN_LATER	B1026_the_one_involution exists only on origin/claude/new-session-qor5up (never on main); until harvested, 'exchange symmetry not derived from A1-A6' stands on main	exchange symmetry itself is not derived from A1-A6.
11	B19_exchange_half_step_axiom_audit	frontier/B19_exchange_half_step_axiom_audit/FINDINGS.md:33	LEAD	OPEN_LATER	same as #10 (B1026 on an unmerged head); B1050 projective wall does not derive it	but this condition itself is not derived from A1-A6.
12	B21_spacetime_wp_dictionary	frontier/B21_spacetime_wp_dictionary/FINDINGS.md:12	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	No physical metric, units, causal cone, or Einstein equation is derived.
13	B23_bkl_gravity_controls	frontier/B23_bkl_gravity_controls/FINDINGS.md:16	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	No explicit dictionary from `(u,v,w)` to Misner variables `(beta_+, beta_-,Omega)` or to Kasner/BKL variables is derived here.
14	B24_anyon_quantum_bridge	frontier/B24_anyon_quantum_bridge/README.md:19	UNSWEEPABLE	STANDS	5 -> k+2 identification is a numerology B24 itself declines; no arc derives it	no derived rule mapping that `5` to `k+2`.
15	B24_anyon_quantum_bridge	frontier/B24_anyon_quantum_bridge/FINDINGS.md:16	UNSWEEPABLE	STANDS	as #14	the shift from `5` to `k+2` is not derived.
16	B25_fibonacci_spectrum_anchor	frontier/B25_fibonacci_spectrum_anchor/FINDINGS.md:22	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	coupling is not derived from A1-A6 plus exchange symmetry.
17	B27_sl3_fibonacci_trace_lift	frontier/B27_sl3_fibonacci_trace_lift/FINDINGS.md:64-65	LEAD	NOISE	paper card restates	it does not derive a physical dictionary. Particle/antiparticle language is not promoted.
18	B29_hierarchy_normalization_controls	frontier/B29_hierarchy_normalization_controls/FINDINGS.md:42	UNSWEEPABLE	CONSISTENT	self-scoped	it does not derive a physical spectrum.
19	B52_multichannel_fibonacci_bridge_control	B52 LITERATURE.md, Conclusion section	LEAD	NOISE	literature absence; repo hits are index files	I found no source in this scan where a three-channel Fibonacci tight-binding model yields an SL(3) transfer matrix whose trace-map renormalization is the PC12 T_m.
