packet	arc	orientation_source	status	evidence	amphichirality_test	headline	mechanism	note	quoted	files_read
F000	DOC:CLAIMS.md#P34	NOT_ABOUT_CHIRALITY	STANDS	COMPUTED	symmetry_group().is_amphicheiral() (SnapPy three-way cross-check against the palindrome/anti-palindrome criteria, per B134/FINDINGS.md)	Amphichirality of metallic block bundles ⟺ block-length sequence is a cyclic palindrome — a symmetry classification, not a derived handedness.	A combinatorial palindrome condition on the LR-word (derived from the substitution/monodromy) predicts WHETHER the object equals its own mirror; it never picks a side when the word is not a palindrome.	This derives a yes/no amphichirality TEST from the word, not an orientation/handedness value — it answers 'is there a mirror symmetry' not 'which side'. Confirmed by grepping frontier/B134's probe.py, which calls symmetry_group().is_amphicheiral(), the valid test.	CLAIMS.md:86: | P34 | Metallic block bundles are amphichiral ⟺ the block-length sequence is a cyclic palindrome — a corollary of the published Goodman–Heard–Hodgson (2008) criterion plus an exhaustively certified string identity (5460 cases); adversarial novelty audit recorded. | `frontier/B134_chirality_recursion_proved` |	
F000	DOC:CLAIMS.md#P35	NOT_ABOUT_CHIRALITY	STANDS	COMPUTED	symmetry_group().is_amphicheiral() (SnapPy three-way check: pair-criterion == anti-palindromic(word) == is_amphicheiral, per B136/probe.py)	General amphichirality criterion for all once-punctured-torus bundles (reversal + component-swap invariance of the LR word) — again a symmetry test, exhaustively certified.	Reverse-order and component-swap (R↔L) invariance of the cyclic LR word, both computable from σ's word, predict amphichirality across 7380 cases.	Same caveat as P34: this is a mirror-symmetry test on the word, not a mechanism that assigns a side/handedness to a non-amphichiral object.	CLAIMS.md:87: | P35 | The amphichirality criterion for ALL once-punctured-torus bundles (reverse-order + component-swap invariance of the LR word), same GHH-2008 basis, exhaustively certified (7380 cases); specializes to the metallic palindrome law. | `frontier/B136_general_amphichirality` |	
F000	DOC:CLAIMS.md#P39	UNSTATED	STANDS	CITED	none	One of the six 'Ω strict-full theorems' re-derived here is named 'TC-4 orientation no-go' — a NEGATIVE result about deriving orientation.	Not detailed in this row (points to frontier/B156); named as a no-go, i.e. a proof that orientation is NOT derivable in that Ω-cone setting.	The row only names 'TC-4 orientation no-go' without stating its content; consistent with, but not itself proof of, the broader finding that orientation is not object-derivable. Would need frontier/B156/FINDINGS.md to see TC-4's exact statement, not fetched here.	CLAIMS.md:91: | P39 | The six Ω strict-full theorems (R/G algebra; TC-2 reciprocity; history-entropy = log 2; TC-1 unique minimal seed Ω₄; TC-4 orientation no-go; Fibonacci block-count), independently re-derived and adversarially verified (novelty NOT claimed — NEEDS-SPECIALIST stands). | `frontier/B156_omega_strict_full_cone` |	
F000	DOC:TERMINOLOGY.md#c-as-swap	OBSERVER_CHOICE	STANDS	ASSERTED	none (this is a glossary/terminology entry, not a computation)	'c-as-swap' term: complex conjugation/orientation/time-reversal SWAPS the object's two chiral copies; the object is swap-symmetric and the observer breaks the symmetry by CHOOSING a side.	The object (its two saddles, ρ_geom↔ρ̄_geom, τ↔τ̄) is invariant under the swap map c; nothing in the object singles out one copy, so 'which side' is left to the observer's choice of embedding/conjugation.	This is the record's canonical terminology answer to the seat's question: the object is symmetric under the swap and a side is always chosen by the observer, never derived from the object/rule.	TERMINOLOGY.md:192-195: - **c-as-swap**: the observer's conjugation c (complex conjugation / orientation / time reversal) acts as a SWAP that exchanges the object's two chiral copies everywhere (two saddles σ₁↔σ₂, ρ_geom↔ρ̄_geom, τ↔τ̄). The object is swap-symmetric; the observer breaks the symmetry by CHOOSING a side.	
F000	DOC:TERMINOLOGY.md#B1083-origin-torsor	OBSERVER_CHOICE	STANDS	COMPUTED	none (algebraic/combinatorial: exhaustive orbit enumeration to length 8, det M = -1, M^2 = RL verified by own code in frontier/B1083_origin_torsor_typed)	The founding substitution rule a→ab, b→a is itself a basepoint choice on a free-transitive K4-torsor whose spendable bits are C (swap/chirality) and P (reversal); the arrow is NOT a torsor bit.	The four Fibonacci-type rules form one free transitive K4-orbit under reversal-conjugation and swap-conjugation; picking σ: a→ab, b→a is a basepoint-taking on that torsor, i.e. an arbitrary choice among 4 symmetric alternatives, not a forced/derived selection. Swap (chirality) and reversal (parity) are both 'spendable choices'; only the arrow (monoid non-surjectivity, 'bb' has no preimage) is intrinsic/unspendable.	This is the single most direct answer to the seat's question about σ itself: even the choice of the specific rule a→ab,b→a is a basepoint choice among 4 symmetric alternatives on a free-transitive torsor, and the chirality bit (swap) is explicitly one of the 'spendable choices', not an intrinsic/forced feature. Arc verdict: PROVED (B1083, frontier/B1083_origin_torsor_typed/arc_verdict.json).	"TERMINOLOGY.md:420-424: The four natural Fibonacci substitution rules form one free transitive K₄-orbit under reversal-conjugation and swap-conjugation; the founding choice `a→ab, b→a` is a basepoint-taking on this torsor. The original typing (""reversal = time's arrow, swap = chirality"") is **corrected**: all four orbit points are FORWARD substitutions (no K₄ element inverts the dynamics), so reversal is a **P-type** bit (parity, reading direction) and swap is the **C-type** bit (chirality) — but **the arrow is not on the torsor at all**."	
F000	DOC:TERMINOLOGY.md#B1095-mirror-isospectral	UNSTATED	STANDS	COMPUTED	none (spectral/numerical: eigenvalue agreement to 1.3e-15 over 2584 eigenvalues, per B1095)	At a reversal-closed cut window the two hands (of the substitution's bi-infinite word) are exactly isospectral but localize complementarily — the P-bit (parity) is realized physically, but this is about the origin torsor's P-bit, not chirality per se, and no orientation is derived, only a spectral symmetry.	An exchange matrix J conjugates one half-line Hamiltonian into the other (J·H_R·J = H_L), forcing spectral agreement; which shared eigenstate localizes left vs right is the free (P-equivariant) half, distinguishing FORCED (energies) from FREE (localization side).	This concerns the P-bit (parity/reversal), a different bit from the C-bit (chirality/swap) per B1083's typing; included because the question also asks about 'a side always chosen', and here again which-side (of localization) is explicitly labeled FREE/chosen, not forced.	TERMINOLOGY.md:461-467: at a reversal-closed window the cut's two hands are **exactly isospectral**... The **energies are P-invariant (forced); the localization is P-equivariant (free)** — the origin torsor's P-bit (B1083) physically realized as *which* shared state binds where.	
F000	DOC:TERMINOLOGY.md#location-theorem	NONE_OBJECT_AMPHICHIRAL	STANDS	MIXED	none stated in this glossary row (see individual arcs B1084/B1086/B1087 for their own instruments)	THE LOCATION THEOREM (four independent registers): no CLOSED assembly of the object can be chiral in matter counts; chirality becomes measurable only where the object is NOT closed (at a cut or an isolated point) — i.e. never derived from the closed object/rule itself.	Four independent proofs (Poincaré-duality pairing forcing h¹(D;27)=h¹(D;27̄); non-isolated ADE enhancement on the flat G2 cone; the substitution rule's completion-kernel; charge/holonomy non-commutativity on any closed object) converge on: closed ⟹ vector-like/achiral; chirality only appears at a boundary/cut/hatch, i.e. where an external structure (the cut, the observer) is introduced.	This is a strong, repeatedly-fenced claim that the closed object (the rule σ's natural closed geometric realization) cannot supply chirality at all; a side only becomes definable once an external cut/observer structure is introduced.	TERMINOLOGY.md:488-490: Chirality becomes measurable exactly where the object is **not** closed: at a cut (the edge, B1085/B1095) or an isolated transversal point (the hatch, B1084/B1098). Fence carried verbatim at every landing: **chirality-at-count is NOT claimed** even where the matter content is representation-level complex (B1100).	
F000	DOC:docs/RETRACTIONS.md	UNSTATED	CANNOT_CHECK	ASSERTED	none	No row in RETRACTIONS.md mentions chirality, orientation, mirror, amphichirality, parity, complex conjugation, or 'choosing a side'.	n/a	No chirality-related retraction exists in this file as of the read; this means no arc's chirality finding is flagged as retracted THROUGH this specific ledger (individual arc_verdict.json supersedes/retraction fields were checked separately per-arc instead).	grep -ni chirality|orientation|mirror|amphich|parity|conjug|c-swap|choos.*side docs/RETRACTIONS.md returned zero matches (file is 87 lines, present, read via grep).	
F000	DOC:docs/ERROR_LEDGER.md#E16	NOT_ABOUT_CHIRALITY	RETRACTED	COMPUTED	none (this is an Atkin-Lehner sign/root-number computation, not a manifold amphichirality test)	E16: a prior seat over-read opposite Atkin-Lehner signs as an emergent 'chirality'/c-breaking at level 15; corrected — the signs are a GENERIC even-rank elliptic-curve fact, zero 3-vs-5 (being/hearing) content.	Root number ε=w∞w3w5=(−1)^rank forces opposite AL signs whenever rank is even, independent of any 3-vs-5 (chirality-relevant) structure; verified against other curves 14a/26a/57a.	A cautionary instance: a chirality label was mistakenly attached to a generic arithmetic fact and then retracted — reinforces that claimed chirality-derivations in this record need independent verification, not citation.	"docs/ERROR_LEDGER.md:30: | E16 | **Chirality over-reading (my E-2a/S067 read)** | I read the opposite Atkin-Lehner signs w₃=+1, w₅=−1 as an emergent bifocal ""chirality"" / c-breaking at level 15 | they are FORCED by E₁₅'s EVEN RANK (root number ε=w_∞ w₃ w₅=(−1)^rank; opposite signs ⟺ even rank), a GENERIC elliptic-curve fact (verified 14a/26a/57a) — zero 3-vs-5 content | cc2 caught it in E-3b; verified this seat; S067 row-3 falsified; owned (B695)"	
F000	DOC:LAW_MAP.md#B713	ARITHMETIC_GALOIS	STANDS	COMPUTED	symmetry_group().is_amphicheiral() plus is_isometric_to(mirror) used only as a non-load-bearing optional cross-check (frontier/B713_chirality/b713_probe3.py, 'W1+W2 already suffice')	CHIRALITY IS THE OBSERVER'S, NOT THE OBJECT'S: 'which chirality' is a non-canonical ℤ/2 Galois torsor bit = the observer's fiber-functor choice; chirality enters through the coupling, not the object.	The two chirality labels correspond to the two roots of y²−3y+3 (disc −3, irreducible over ℚ); Gal(ℚ(√−3)/ℚ) acts simply transitively (free+transitive, 0 fixed points) on this pair, so there is no canonical/Galois-fixed chirality — selecting one is an arbitrary choice of embedding.	Directly answers the seat's question: nothing derives a specific handedness from the object; the Galois torsor is free and transitive (no fixed point), so a side is always chosen (here, a choice of complex embedding). Arc verdict NEGATIVE (i.e. the hypothesis that chirality is object-intrinsic is negatived).	docs/LAW_MAP.md:150: | **CHIRALITY IS THE OBSERVER'S, NOT THE OBJECT'S (B713)** | ... 'which chirality' is a non-canonical ℤ/2 Galois torsor bit (fiber y²−3y+3, disc −3, simply-transitive; same V₄ as the fiber functor) = the observer's fiber-functor choice. Chirality enters through the COUPLING, not the object |	
