arc	fc_flag	fc_judgment	cc_status_on_main	register_row	evidence_on_main	earning_path
B532	IDENTIFICATION_BY_TYPE	UNCAUGHT (cited B1017/B1164 price list as the fence)	VERIFIED-UNEARNED; fc citation WRONG (fence is docs/CLOSURE_2026-07-11.md:55-60, owner-adjudicated)	I-13	i6_phase3_synthesis.py l.51/74/100/105 names Born rule / Gravity / TIME ARROW for dimensionless structural analogues; no fence in FINDINGS; CLOSURE_2026-07-11 shuts the B398 gate on any physics reading	the crossing cell: the listener map u constructed from field data (W5/W6), never fitted
B305	IDENTIFICATION_BY_TYPE	UNCAUGHT, 'refuted downstream by B323/B1232'	VERIFIED-UNEARNED; fc's 'refuted' too strong (B323:18-22 says the two Z/3s are DISTINCT and the crux 'does L3 connect to L4?' is OPEN)	I-14	FINDINGS:24-27 self-fence: grading is standard E6 rep theory, object connection = omega is the Eisenstein root; B1232:42 Gal(Q(zeta3)/Q) order 2	a map L4 (commensurator Eisenstein unit phi) -> L3 (trinification theta) that acts on the 27
B715	IDENTIFICATION_BY_TYPE	UNCAUGHT	VERIFIED-UNEARNED	I-15	FINDINGS:10-28 'exactly what it should be as 3d Euclidean quantum gravity (Witten 1988)... PSL(2,C) promoted to E6(C)'; map = principal sl2 in e6 promotion, no dynamics exhibited; non-real adjoint trace 37437270+38799960*sqrt3*i	Dynkin index of the principal embedding tying the E6 CS invariant to Vol+iCS (L199)
B675	IDENTIFICATION_BY_TYPE	UNCAUGHT	VERIFIED-UNEARNED (number match conductor 8 = level 8; uniqueness unshown)	I-16	FINDINGS:17-25 'SU(4)_1 IS the silver's stage', ord(T)=8; cell_output.txt:113-120 hearing SU(4)_1 equal True, SU(4)_2 / SU(3)_2 separate; a level-8 congruence rep depends on the mod-8 class by definition	the silver cusp lattice's discriminant form vs A3's (Z/4, q=3/8) (L199)
B312	IDENTIFICATION_BY_TYPE	UNCAUGHT	VERIFIED-REFUTED via B727 (B1223 template)	I-17	'One E6, three ADE hats', Coxeter 12, exponents {1,4,5,7,8,11}; B727: the recurrence is FORCED, not evidence -- only the atom Q(sqrt-3) is object-specific	n/a (refuted: the match is the ADE classification, not the object)
B660	IDENTIFICATION_BY_TYPE	UNCAUGHT	SELF-CAUGHT on main (fc wrong): verdict 'CONSISTENT-NOT-SELECTIVE, banked as PLACEMENT'	none	phi at the same locus = S-transform of R=-I irreps of SL(2,5); the arc itself refuses the identification	none needed
B650	IDENTIFICATION_BY_TYPE	UNCAUGHT	NEEDS-JUDGMENT (hearing side, not SM spine); not registered	none	functor 'EXISTS one level up: GROUP-functorial = B644's congruence-shadow theorem'	defer to the hearing lane
B666	IDENTIFICATION_BY_TYPE	UNCAUGHT ('three data points')	NOT-AN-IDENTIFICATION (near-definitional given the full shadows; fc undercounts the mechanism)	none	WAVE3:29-32 mode DECIDED by SL(2)-realizability; 2I,2T = SL(2,Z/n) at n=5,3; 2O not SL(2,Z/n) n<=48; WAVE1 mod-8 shadow = ALL of SL(2,Z/8), order 384; no arc_verdict.json	none
B448	IDENTIFICATION_BY_TYPE	UNCAUGHT	TSV-ONLY (not SM spine; not re-adjudicated here)	none	fc Phase E part 1 row	Phase E part 2
B449	IDENTIFICATION_BY_TYPE	UNCAUGHT	TSV-ONLY	none	fc Phase E part 1 row	Phase E part 2
B592	IDENTIFICATION_BY_TYPE	UNCAUGHT	TSV-ONLY	none	fc Phase E part 1 row	Phase E part 2
B665	IDENTIFICATION_BY_TYPE	UNCAUGHT	TSV-ONLY	none	fc Phase E part 1 row	Phase E part 2
B670	IDENTIFICATION_BY_TYPE	UNCAUGHT	TSV-ONLY	none	fc Phase E part 1 row	Phase E part 2
B779	IDENTIFICATION_BY_TYPE	UNCAUGHT	TSV-ONLY	none	fc Phase E part 1 row	Phase E part 2
B861	IDENTIFICATION_BY_TYPE	UNCAUGHT	TSV-ONLY	none	fc Phase E part 1 row	Phase E part 2
B232	STALE-VERDICT	verdict PROVED vs prose 'reduction, not a proof'	VERIFIED; verdict PROVED->OPEN, claim rewritten, addendum	none	FINDINGS:3-4 'The central unproved theorem... an honest reduction... not a proof'; :38 'outcome (b)... (not a proof)'; exact to n=8, real Jacobian to n=5	n/a (record correction)
B167	LABEL-ONLY	claim reads as closure	VERIFIED; claim_one_line POSTULATED qualifier + addendum	none	FINDINGS:3-8 POSTULATED -> 'stated argument', firewall-side; COSMOLOGY_LEDGER:174 cites as forbidding a scale	n/a (record correction)
B647	LABEL-ONLY	claim says 'forces' vs cell 'NOT forced'	VERIFIED; claim_one_line corrected + addendum	none	claim_one_line 'forces Y[023] = 24 zeta6 Y[123]'; Cell 1 l.14 'NOT forced -- residual ONE R-linear condition'; constrained space real dim 6; spectator law <=> arg Y[134] = pi/6	n/a (record correction)
